made_at,reference_month,horizon_months,target,point,information_cutoff,p10,p25,p75,p90,model,model_version,git_sha,benchmark_name,benchmark_point,actual,note
2026-07-30T05:17:28.621562+00:00,2026-10,3,trimmed_mean_yoy,3.488,2026-06,,,,,index_projection,v1-index-projection,539ae70,random_walk,3.6,,h=3; prints 2026-11-25
2026-07-30T05:17:28.621562+00:00,2026-11,4,trimmed_mean_yoy,3.541,2026-06,,,,,index_projection,v1-index-projection,539ae70,random_walk,3.6,,h=4; prints 2027-01-06
2026-07-30T05:17:28.621562+00:00,2026-12,5,trimmed_mean_yoy,3.596,2026-06,,,,,index_projection,v1-index-projection,539ae70,random_walk,3.6,,h=5; release date not in calendar
2026-07-30T05:17:28.621562+00:00,2027-01,6,trimmed_mean_yoy,3.576,2026-06,,,,,index_projection,v1-index-projection,539ae70,random_walk,3.6,,h=6; release date not in calendar
2026-07-30T05:17:28.621562+00:00,2027-02,7,trimmed_mean_yoy,3.671,2026-06,,,,,index_projection,v1-index-projection,539ae70,random_walk,3.6,,h=7; release date not in calendar
2026-07-30T05:17:28.621562+00:00,2027-03,8,trimmed_mean_yoy,3.719,2026-06,,,,,index_projection,v1-index-projection,539ae70,random_walk,3.6,,h=8; release date not in calendar
2026-07-30T05:17:28.621562+00:00,2027-04,9,trimmed_mean_yoy,3.706,2026-06,,,,,index_projection,v1-index-projection,539ae70,random_walk,3.6,,h=9; release date not in calendar
2026-07-30T05:17:28.621562+00:00,2027-05,10,trimmed_mean_yoy,3.626,2026-06,,,,,index_projection,v1-index-projection,539ae70,random_walk,3.6,,h=10; release date not in calendar
2026-07-30T05:17:28.621562+00:00,2027-06,11,trimmed_mean_yoy,3.645,2026-06,,,,,index_projection,v1-index-projection,539ae70,random_walk,3.6,,h=11; release date not in calendar
2026-07-30T05:17:28.621562+00:00,2027-07,12,trimmed_mean_yoy,3.645,2026-06,,,,,index_projection,v1-index-projection,539ae70,random_walk,3.6,,h=12; release date not in calendar
2026-08-01T06:40:55.433641+00:00,2026-08,0,headline_mom,0.049,2026-06,,,,,seasonal_index_mom,v2-seasonal-index,b6625e1,seasonal_naive,-0.1,,h=0; prints 2026-09-30
2026-08-01T06:40:55.433641+00:00,2026-09,1,headline_mom,0.499,2026-06,,,,,seasonal_index_mom,v2-seasonal-index,b6625e1,seasonal_naive,0.5,,h=1; prints 2026-10-28
2026-08-01T06:40:55.433641+00:00,2026-10,2,headline_mom,0.052,2026-06,,,,,seasonal_index_mom,v2-seasonal-index,b6625e1,seasonal_naive,0.0,,h=2; prints 2026-11-25
2026-08-01T06:40:55.433641+00:00,2026-11,3,headline_mom,0.002,2026-06,,,,,seasonal_index_mom,v2-seasonal-index,b6625e1,seasonal_naive,0.0,,h=3; prints 2027-01-06
2026-08-01T06:40:55.433641+00:00,2026-12,4,headline_mom,1.014,2026-06,,,,,seasonal_index_mom,v2-seasonal-index,b6625e1,seasonal_naive,1.0,,h=4; release date not in calendar
2026-08-01T06:40:55.433641+00:00,2027-01,5,headline_mom,0.071,2026-06,,,,,seasonal_index_mom,v2-seasonal-index,b6625e1,seasonal_naive,0.4,,h=5; release date not in calendar
2026-08-01T06:40:55.433641+00:00,2027-02,6,headline_mom,0.124,2026-06,,,,,seasonal_index_mom,v2-seasonal-index,b6625e1,seasonal_naive,0.0,,h=6; release date not in calendar
2026-08-01T06:40:55.433641+00:00,2027-03,7,headline_mom,0.364,2026-06,,,,,seasonal_index_mom,v2-seasonal-index,b6625e1,seasonal_naive,1.1,,h=7; release date not in calendar
2026-08-01T06:40:55.433641+00:00,2027-04,8,headline_mom,0.747,2026-06,,,,,seasonal_index_mom,v2-seasonal-index,b6625e1,seasonal_naive,0.4,,h=8; release date not in calendar
2026-08-01T06:40:55.433641+00:00,2027-05,9,headline_mom,-0.233,2026-06,,,,,seasonal_index_mom,v2-seasonal-index,b6625e1,seasonal_naive,-0.7,,h=9; release date not in calendar
